"Time","Mob BP1"
2022-02-12 08:30:03,135
2022-02-12 09:00:03,135
2022-02-12 09:30:03,136
2022-02-12 10:00:03,137
2022-02-12 10:30:03,137
2022-02-12 11:00:03,137
2022-02-12 11:30:03,137
2022-02-12 12:00:03,137
2022-02-12 12:30:03,137
2022-02-12 13:00:03,137
2022-02-12 13:30:03,137
2022-02-12 14:00:03,137
2022-02-12 14:30:03,137
2022-02-12 15:00:03,137
2022-02-12 15:30:03,137
2022-02-12 16:00:03,136
2022-02-12 16:30:03,136
2022-02-12 17:00:03,136
2022-02-12 17:30:03,136
2022-02-12 18:00:03,136
2022-02-12 18:30:03,135
2022-02-12 19:00:03,136
2022-02-12 19:30:03,136
2022-02-12 20:00:03,136
2022-02-12 20:30:03,135
2022-02-12 21:00:03,135
2022-02-12 21:30:03,135
2022-02-12 22:00:03,136
2022-02-12 22:30:03,135
2022-02-12 23:00:03,135
2022-02-12 23:30:03,136
2022-02-13 00:00:03,136
2022-02-13 00:30:03,136
2022-02-13 01:00:03,136
2022-02-13 01:30:03,136
2022-02-13 02:00:03,136
2022-02-13 02:30:03,136
2022-02-13 03:00:03,136
2022-02-13 03:30:03,136
2022-02-13 04:00:03,136
2022-02-13 04:30:03,136
2022-02-13 05:00:03,136
2022-02-13 05:30:03,136
2022-02-13 06:00:03,135
2022-02-13 06:30:03,135
2022-02-13 07:00:03,135
2022-02-13 07:30:03,135
2022-02-13 08:00:03,135
2022-02-13 08:30:03,135
2022-02-13 09:00:03,135
2022-02-13 09:30:03,136
2022-02-13 10:00:03,137
2022-02-13 10:30:03,137
2022-02-13 11:00:03,138
2022-02-13 11:30:03,138
2022-02-13 12:00:03,138
2022-02-13 12:30:03,138
2022-02-13 13:00:03,138
2022-02-13 13:30:03,138
2022-02-13 14:00:03,138
2022-02-13 14:30:03,137
2022-02-13 15:00:03,137
2022-02-13 15:30:03,137
2022-02-13 16:00:03,137
2022-02-13 16:30:03,137
2022-02-13 17:00:03,137
2022-02-13 17:30:03,137
2022-02-13 18:00:03,136
2022-02-13 18:30:03,136
2022-02-13 19:00:03,136
2022-02-13 19:30:03,136
2022-02-13 20:00:03,136
2022-02-13 20:30:03,136
2022-02-13 21:00:03,136
2022-02-13 21:20:03,157
2022-02-13 21:30:03,160
2022-02-13 22:00:03,157
2022-02-13 22:30:03,154
2022-02-13 23:30:03,149
2022-02-14 00:00:03,148
2022-02-14 01:00:03,145
2022-02-14 01:30:03,143
2022-02-14 02:00:03,143
2022-02-14 02:30:03,142
2022-02-14 03:00:03,141
2022-02-14 03:30:03,140
2022-02-14 04:00:03,140
2022-02-14 04:30:03,139
2022-02-14 05:00:03,138
2022-02-14 05:30:03,138
2022-02-14 06:00:03,138
2022-02-14 06:30:03,137
2022-02-14 07:00:03,136
2022-02-14 07:30:03,137
2022-02-14 08:00:03,137
2022-02-14 08:30:03,136
2022-02-14 09:00:03,136
2022-02-14 10:00:03,138
2022-02-14 10:30:03,139
2022-02-14 11:00:03,139
2022-02-14 11:30:03,139
2022-02-14 12:00:03,139
2022-02-14 12:30:03,139
2022-02-14 13:00:03,139
2022-02-14 13:30:03,140
2022-02-14 14:30:03,139
2022-02-14 15:00:03,138
2022-02-14 15:30:03,139
2022-02-14 16:00:03,139
2022-02-14 16:30:03,139
2022-02-14 17:00:03,145
2022-02-14 17:30:03,149
2022-02-14 18:00:03,152
2022-02-14 18:30:03,153
2022-02-14 19:00:03,153
2022-02-14 19:30:03,152
2022-02-14 20:00:03,152
2022-02-14 20:30:03,152
2022-02-14 21:00:03,151
2022-02-14 21:30:03,150
2022-02-14 22:00:03,149
2022-02-14 22:30:03,148
2022-02-14 23:00:03,147
2022-02-14 23:30:03,147
2022-02-15 00:00:03,146
2022-02-15 00:30:03,145
2022-02-15 01:00:03,144
2022-02-15 01:30:03,143
2022-02-15 02:00:03,143
2022-02-15 02:30:03,142
2022-02-15 03:00:03,142
2022-02-15 03:30:03,142
2022-02-15 04:00:03,142
2022-02-15 04:30:03,141
2022-02-15 05:00:03,141
2022-02-15 05:30:03,141
2022-02-15 06:00:03,140
2022-02-15 06:30:03,141
2022-02-15 07:00:03,141
2022-02-15 07:30:03,141
2022-02-15 08:00:03,141
2022-02-15 08:30:03,140
2022-02-15 09:00:03,141
2022-02-15 09:30:03,140
2022-02-15 10:00:03,141
2022-02-15 10:15:03,159
2022-02-15 10:20:03,167
2022-02-15 10:30:03,165
2022-02-15 11:00:03,163
2022-02-15 11:20:03,146
2022-02-15 11:30:03,161
2022-02-15 12:00:03,162
2022-02-15 12:15:03,154
2022-02-15 12:20:03,143
2022-02-15 12:30:03,139
2022-02-15 12:55:03,149
2022-02-15 13:00:03,142
2022-02-15 13:05:03,151
2022-02-15 13:10:03,143
2022-02-15 13:20:03,157
2022-02-15 13:25:03,145
2022-02-15 13:30:03,140
2022-02-15 14:00:03,136
2022-02-15 14:30:03,135
2022-02-15 15:00:03,135
2022-02-15 15:30:03,134
2022-02-15 16:00:03,134
2022-02-15 16:30:03,133
2022-02-15 17:00:03,133
2022-02-15 17:30:03,133
2022-02-15 18:00:03,133
2022-02-15 18:30:03,134
2022-02-15 19:00:03,134
2022-02-15 20:00:03,134
2022-02-15 20:30:03,134
2022-02-15 21:00:03,134
2022-02-15 21:30:03,133
2022-02-15 22:00:03,134
2022-02-15 22:30:03,134
2022-02-15 23:00:03,134
2022-02-15 23:30:03,134
2022-02-16 00:30:03,135
2022-02-16 01:00:03,135
2022-02-16 01:30:03,135
2022-02-16 02:00:03,135
2022-02-16 02:30:03,134
2022-02-16 03:00:03,134
2022-02-16 03:30:03,134
2022-02-16 04:00:03,134
2022-02-16 04:30:03,133
2022-02-16 05:00:03,133
2022-02-16 05:30:03,132
2022-02-16 06:00:03,132
2022-02-16 06:30:03,131
2022-02-16 07:00:03,131
2022-02-16 07:30:03,131
2022-02-16 08:00:03,131
2022-02-16 08:30:03,134
2022-02-16 08:35:03,146
2022-02-16 08:40:03,157
2022-02-16 09:00:03,157
2022-02-16 09:05:03,149
2022-02-16 09:10:03,137
2022-02-16 09:30:03,128
2022-02-16 09:45:03,133
2022-02-16 10:00:03,137
2022-02-16 10:20:03,143
2022-02-16 10:30:03,145
2022-02-16 11:00:03,149
2022-02-16 11:30:03,151
2022-02-16 12:00:03,152
2022-02-16 12:30:03,152
2022-02-16 13:00:03,150
2022-02-16 13:30:03,151
2022-02-16 14:00:03,150
2022-02-16 14:30:03,150
2022-02-16 14:55:03,159
2022-02-16 15:00:03,158
2022-02-16 15:20:03,152
2022-02-16 15:30:03,150
2022-02-16 16:00:03,149
2022-02-16 16:30:03,148
2022-02-16 17:00:03,147
2022-02-16 17:30:03,146
2022-02-16 18:00:03,145
2022-02-16 18:30:03,145
2022-02-16 19:00:03,144
2022-02-16 19:15:03,138
2022-02-16 19:30:03,143
2022-02-16 20:00:03,145
2022-02-16 20:30:03,145
2022-02-16 21:00:03,144
2022-02-16 21:30:03,144
2022-02-16 22:00:03,144
2022-02-16 22:30:03,144
2022-02-16 23:00:03,144
2022-02-17 00:00:03,144
2022-02-17 00:30:03,143
2022-02-17 01:00:03,143
2022-02-17 01:30:03,143
2022-02-17 02:00:03,143
2022-02-17 02:30:03,143
2022-02-17 03:00:03,144
2022-02-17 03:30:03,143
2022-02-17 04:00:03,144
2022-02-17 04:30:03,144
2022-02-17 05:00:03,143
2022-02-17 05:30:03,144
2022-02-17 06:00:03,136
2022-02-17 06:10:03,141
2022-02-17 06:30:03,143
2022-02-17 07:00:03,144
2022-02-17 07:30:03,144
2022-02-17 08:00:03,146
2022-02-17 08:30:03,148
2022-02-17 09:00:03,146
2022-02-17 09:10:03,155
2022-02-17 09:20:03,146
2022-02-17 09:25:03,137
2022-02-17 09:30:03,129
2022-02-17 10:00:03,126
2022-02-17 10:30:03,134
2022-02-17 10:35:03,143
2022-02-17 10:50:03,136
2022-02-17 11:00:03,132
2022-02-17 11:30:03,129
2022-02-17 12:00:03,129
2022-02-17 12:05:03,134
2022-02-17 12:25:03,142
2022-02-17 12:30:03,140
2022-02-17 12:40:03,135
2022-02-17 13:05:03,167
2022-02-17 13:20:03,173
2022-02-17 13:30:03,183
2022-02-17 13:40:03,175
2022-02-17 14:00:03,170
2022-02-17 14:30:03,171
2022-02-17 15:00:03,168
2022-02-17 15:30:03,168
2022-02-17 15:45:03,163
2022-02-17 16:00:03,162
2022-02-17 16:30:03,159
2022-02-17 17:00:03,157
2022-02-17 17:30:03,156
2022-02-17 18:00:03,156
2022-02-17 18:30:03,154
2022-02-17 19:00:03,153
2022-02-17 19:30:03,153
2022-02-17 20:00:03,152
2022-02-17 20:30:03,152
2022-02-17 21:00:03,152
2022-02-17 21:30:03,152
2022-02-17 22:00:03,151
2022-02-17 22:30:03,150
2022-02-17 23:00:03,149
2022-02-17 23:30:03,149
2022-02-18 00:00:03,148
2022-02-18 00:30:03,148
2022-02-18 01:00:03,148
2022-02-18 01:30:03,151
2022-02-18 02:00:03,150
2022-02-18 02:30:03,149
2022-02-18 03:00:03,149
2022-02-18 03:30:03,149
2022-02-18 04:00:03,149
2022-02-18 04:30:03,149
2022-02-18 05:30:03,149
2022-02-18 06:00:03,148
2022-02-18 06:30:03,148
2022-02-18 07:00:03,149
2022-02-18 07:30:03,148
2022-02-18 07:55:03,158
2022-02-18 08:00:03,168
2022-02-18 08:25:03,158
2022-02-18 08:30:03,149
2022-02-18 09:00:03,139
2022-02-18 09:05:03,146
2022-02-18 09:25:03,162
2022-02-18 09:30:03,146
2022-02-18 09:35:03,136
2022-02-18 09:40:03,142
2022-02-18 10:00:03,142
2022-02-18 10:30:03,140
2022-02-18 11:00:03,142
2022-02-18 11:25:03,136
2022-02-18 11:30:03,144
2022-02-18 12:00:03,144
2022-02-18 12:30:03,145
2022-02-18 13:00:03,146
2022-02-18 13:30:03,147
2022-02-18 14:00:03,147
2022-02-18 14:30:03,149
2022-02-18 15:00:03,146
2022-02-18 15:15:03,151
2022-02-18 15:30:03,154
2022-02-18 16:00:03,154
2022-02-18 16:30:03,155
2022-02-18 17:00:03,156
2022-02-18 17:30:03,155
2022-02-18 18:00:03,155
2022-02-18 18:30:03,155
2022-02-18 19:00:03,155
2022-02-18 19:30:03,154
2022-02-18 20:00:03,154
2022-02-18 20:30:03,154
2022-02-18 21:00:03,154
2022-02-18 21:30:03,154
2022-02-18 22:00:03,151
2022-02-18 22:10:03,145
2022-02-18 22:30:03,142
2022-02-18 23:00:03,143
2022-02-18 23:30:03,144
2022-02-19 00:00:03,145
2022-02-19 00:30:03,147
2022-02-19 01:00:03,148
2022-02-19 01:30:03,150
2022-02-19 02:00:03,151
2022-02-19 02:30:03,150
2022-02-19 03:30:03,148
2022-02-19 04:00:03,151
2022-02-19 04:30:03,151
2022-02-19 05:00:03,150
2022-02-19 05:30:03,153
2022-02-19 06:00:03,152
2022-02-19 06:15:03,172
2022-02-19 06:20:03,179
2022-02-19 06:30:03,181
2022-02-19 07:00:03,177
2022-02-19 07:30:03,173
2022-02-19 08:00:03,171
2022-02-19 08:30:03,168
2022-02-19 09:00:03,167
2022-02-19 09:30:03,165
2022-02-19 10:00:03,163
2022-02-19 10:30:03,161
2022-02-19 11:00:03,161
2022-02-19 11:30:03,159
2022-02-19 12:00:03,158
2022-02-19 12:20:03,151
2022-02-19 12:25:03,146
2022-02-19 12:30:03,145
2022-02-19 12:40:03,140
2022-02-19 12:55:03,153
2022-02-19 13:00:03,155
2022-02-19 14:00:03,157
2022-02-19 14:30:03,157
2022-02-19 15:00:03,157
2022-02-19 15:30:03,155
2022-02-19 16:00:03,156
2022-02-19 16:30:03,154
2022-02-19 17:00:03,153
2022-02-19 17:30:03,151
2022-02-19 18:00:03,151
2022-02-19 18:30:03,146
2022-02-19 19:00:03,146
2022-02-19 19:30:03,145
2022-02-19 20:00:03,145
2022-02-19 20:30:03,149
2022-02-19 21:00:03,150
2022-02-19 21:30:03,150
2022-02-19 22:00:03,150
2022-02-19 22:30:03,150
2022-02-19 23:00:03,151
2022-02-19 23:30:03,151
2022-02-20 00:00:03,152
2022-02-20 00:30:03,152
2022-02-20 01:00:03,152
2022-02-20 01:30:03,152
2022-02-20 02:00:03,152
2022-02-20 02:30:03,153
2022-02-20 03:00:03,153
2022-02-20 03:15:03,147
2022-02-20 03:25:03,138
2022-02-20 03:30:03,133
2022-02-20 03:40:03,124
2022-02-20 04:00:03,131
2022-02-20 04:05:03,139
2022-02-20 04:25:03,131
2022-02-20 04:30:03,130
2022-02-20 05:00:03,128
2022-02-20 05:30:03,130
2022-02-20 06:00:03,126
2022-02-20 06:30:03,126
2022-02-20 07:00:03,125
2022-02-20 07:30:03,131
2022-02-20 07:35:03,149
2022-02-20 07:40:03,158
2022-02-20 08:00:03,160
2022-02-20 08:30:03,160
2022-02-20 09:00:03,160
2022-02-20 09:30:03,157
2022-02-20 10:00:03,156
2022-02-20 10:30:03,158
2022-02-20 10:35:03,163
2022-02-20 10:50:03,169
2022-02-20 10:55:03,177
2022-02-20 11:00:03,180
2022-02-20 11:30:03,177
2022-02-20 12:00:03,174
2022-02-20 12:30:03,172
2022-02-20 13:00:03,171
2022-02-20 13:30:03,170
2022-02-20 14:00:03,169
2022-02-20 14:30:03,168
2022-02-20 15:00:03,168
2022-02-20 15:30:03,167
2022-02-20 16:00:03,166
2022-02-20 16:30:03,165
2022-02-20 17:00:03,164
2022-02-20 17:30:03,163
2022-02-20 18:00:03,163
2022-02-20 18:30:03,162
2022-02-20 19:00:03,161
2022-02-20 19:30:03,161
2022-02-20 20:00:03,161
2022-02-20 20:30:03,161
2022-02-20 21:00:03,160
2022-02-20 21:30:03,160
2022-02-20 22:00:03,160
2022-02-20 22:30:03,160
2022-02-20 23:00:03,160
2022-02-21 00:00:03,160
2022-02-21 00:30:03,160
2022-02-21 01:00:03,161
2022-02-21 01:30:03,160
2022-02-21 02:00:03,160
2022-02-21 02:30:03,161
2022-02-21 03:00:03,160
2022-02-21 03:30:03,161
2022-02-21 04:00:03,160
2022-02-21 04:30:03,160
2022-02-21 05:00:03,160
2022-02-21 05:30:03,160
2022-02-21 06:00:03,156
2022-02-21 06:30:03,158
