"Time","MP BP4"
2021-09-15 22:56:00,35.3
2021-09-15 22:56:23,34.3
2021-09-15 22:57:09,32.9
2021-09-28 09:59:36,31.6
2021-09-28 10:30:03,28.7
2021-09-28 11:00:03,28.6
2021-09-28 11:30:03,28.1
2021-09-28 12:00:03,28.6
2021-09-28 12:30:03,28.6
2021-09-28 13:00:03,28.4
2021-09-28 13:30:03,28.5
2021-09-28 14:00:03,28.4
2021-09-28 14:30:03,28.4
2021-09-28 15:00:03,28.5
2021-09-28 15:30:03,28.2
2021-09-28 16:00:03,27.7
2021-09-28 16:30:03,27.7
2021-09-28 17:00:03,27.8
2021-09-28 17:30:03,27.5
2021-09-28 18:00:03,27.4
2021-09-28 18:30:03,27.3
2021-09-28 19:00:03,27.3
2021-09-28 19:30:03,26.9
2021-09-28 20:00:03,27.0
2021-09-28 20:30:03,26.7
2021-09-28 21:00:03,26.7
2021-09-28 21:30:03,26.8
2021-09-28 22:00:03,26.6
2021-09-28 22:30:03,26.6
2021-09-28 23:00:03,26.4
2021-09-29 00:00:03,25.9
2021-09-29 00:30:03,25.0
2021-09-29 01:00:03,25.2
2021-09-29 02:00:03,25.5
2021-09-29 02:30:03,25.7
2021-09-29 03:00:03,25.4
2021-09-29 03:30:03,25.4
2021-09-29 04:00:03,25.4
2021-09-29 04:30:03,25.3
2021-09-29 05:00:03,25.3
2021-09-29 06:00:03,25.1
2021-09-29 06:30:03,25.1
2021-09-29 07:00:03,25.0
2021-09-29 07:30:03,25.2
2021-09-29 08:00:03,24.8
2021-09-29 08:30:03,24.8
2021-09-29 09:00:03,25.1
2021-09-29 09:30:03,25.0
2021-09-29 10:00:03,25.1
2021-09-29 10:30:03,25.5
2021-09-29 11:00:03,25.6
2021-09-29 11:30:03,25.6
2021-09-29 12:00:03,25.4
2021-09-29 12:30:03,25.6
2021-09-29 13:00:03,26.0
2021-09-29 13:30:03,26.1
2021-09-29 14:00:03,26.2
2021-09-29 14:30:03,25.9
2021-09-29 15:00:03,25.8
2021-09-29 15:30:03,26.0
2021-09-29 16:00:03,25.9
2021-09-29 16:30:03,25.8
2021-09-29 17:00:03,25.6
2021-09-29 17:30:03,25.5
2021-09-29 18:00:03,25.6
2021-09-29 18:30:03,25.6
2021-09-29 19:00:03,26.0
2021-09-29 19:30:03,25.9
2021-09-29 20:00:03,25.9
2021-09-29 20:30:03,25.6
2021-09-29 21:00:03,25.8
2021-09-29 22:00:03,26.9
2021-09-29 22:30:03,26.4
2021-09-29 23:00:03,26.5
2021-09-29 23:30:03,25.9
2021-09-30 00:00:03,26.4
2021-09-30 00:30:03,26.2
2021-09-30 01:00:03,26.4
2021-09-30 02:00:03,28.1
2021-09-30 02:30:03,26.2
2021-09-30 03:00:03,24.4
2021-09-30 03:30:03,27.4
2021-09-30 04:00:03,26.9
2021-09-30 04:30:03,26.5
2021-09-30 05:00:03,26.2
2021-09-30 05:30:03,26.6
2021-09-30 06:00:03,25.9
2021-09-30 06:30:03,25.2
2021-09-30 07:00:03,25.4
2021-09-30 07:30:03,25.3
2021-09-30 08:00:03,25.2
2021-09-30 08:30:03,25.3
2021-09-30 09:00:03,25.6
2021-09-30 09:30:03,24.6
2021-09-30 10:00:03,25.0
2021-09-30 10:30:03,25.2
2021-09-30 11:00:03,24.3
2021-09-30 11:30:03,24.7
2021-09-30 12:00:03,24.6
2021-09-30 12:30:03,25.2
2021-09-30 13:00:03,24.7
2021-09-30 14:00:03,24.4
2021-09-30 14:30:03,24.1
2021-09-30 15:00:03,23.9
2021-09-30 16:00:03,23.7
2021-09-30 17:00:03,23.9
2021-09-30 17:30:03,23.6
2021-09-30 18:00:03,23.4
2021-09-30 18:30:03,23.5
2021-09-30 19:00:03,23.8
2021-09-30 20:00:03,23.3
2021-09-30 21:30:03,22.6
2021-09-30 22:00:03,22.7
2021-09-30 22:30:03,22.7
2021-09-30 23:00:03,22.3
2021-09-30 23:30:03,22.3
2021-10-01 00:00:03,22.0
2021-10-01 01:00:03,22.7
2021-10-01 01:30:03,22.0
2021-10-01 02:00:03,22.4
2021-10-01 02:30:03,22.6
2021-10-01 03:00:03,23.1
2021-10-01 03:30:03,22.9
2021-10-01 04:00:03,23.0
2021-10-01 04:30:03,23.0
2021-10-01 05:00:03,23.1
2021-10-01 05:30:03,22.8
2021-10-01 06:00:03,22.7
2021-10-01 06:30:03,22.6
2021-10-01 07:00:03,22.6
2021-10-01 07:30:03,22.4
2021-10-01 08:00:03,22.2
2021-10-01 09:00:03,22.2
2021-10-01 10:00:03,22.5
2021-10-01 10:30:03,22.7
2021-10-01 11:00:03,22.3
2021-10-01 11:30:03,21.0
2021-10-01 12:00:03,20.9
2021-10-01 12:30:03,21.0
2021-10-01 13:00:03,20.9
2021-10-01 14:00:03,22.9
2021-10-01 14:30:03,25.0
2021-10-01 15:00:03,24.8
2021-10-01 15:30:03,24.9
2021-10-01 16:00:03,24.9
2021-10-01 16:30:03,25.3
2021-10-01 17:00:03,25.1
2021-10-01 17:30:03,25.2
2021-10-01 18:00:03,25.4
2021-10-01 18:30:03,25.3
2021-10-01 19:00:03,25.3
2021-10-01 20:00:03,26.6
2021-10-01 20:30:03,25.9
2021-10-01 21:00:03,25.8
2021-10-01 21:30:03,25.8
2021-10-01 22:00:03,21.5
2021-10-01 22:30:03,21.4
2021-10-01 23:00:03,21.7
2021-10-01 23:30:03,20.7
2021-10-02 00:00:03,21.4
2021-10-02 00:30:03,21.1
2021-10-02 01:00:03,21.0
2021-10-02 01:30:03,21.4
2021-10-02 02:00:03,21.4
2021-10-02 02:30:03,21.3
2021-10-02 03:00:03,21.1
2021-10-02 03:30:03,21.4
2021-10-02 04:00:03,21.7
2021-10-02 04:30:03,21.5
2021-10-02 05:00:03,21.4
2021-10-02 05:30:03,21.2
2021-10-02 06:00:03,21.4
2021-10-02 06:30:03,21.4
2021-10-02 07:00:03,23.1
2021-10-02 07:30:03,23.2
2021-10-02 08:00:03,23.1
2021-10-02 08:30:03,23.1
2021-10-02 10:00:03,23.4
2021-10-02 10:30:03,23.9
2021-10-02 11:00:03,23.8
2021-10-02 11:30:03,24.5
2021-10-02 12:00:03,24.0
2021-10-02 12:30:03,23.3
2021-10-02 13:00:03,25.2
2021-10-02 13:30:03,25.0
2021-10-02 14:00:03,25.3
2021-10-02 14:30:03,25.2
2021-10-02 15:00:03,25.3
2021-10-02 15:25:03,30.9
2021-10-02 15:30:03,30.8
2021-10-02 16:00:03,31.1
2021-10-02 16:30:03,31.7
2021-10-02 17:00:03,31.8
2021-10-02 17:30:03,32.2
2021-10-02 18:00:03,32.7
2021-10-02 19:00:03,34.8
2021-10-02 19:30:03,34.1
2021-10-02 20:00:03,33.7
2021-10-02 20:30:03,34.4
2021-10-02 21:00:03,35.1
2021-10-02 21:30:03,36.2
2021-10-02 22:00:03,36.8
2021-10-02 22:30:03,37.9
2021-10-02 23:30:03,39.4
2021-10-03 00:00:03,39.0
2021-10-03 00:30:03,38.7
2021-10-03 01:00:03,39.3
2021-10-03 01:30:03,39.2
2021-10-03 02:00:03,39.0
2021-10-03 02:30:03,39.3
2021-10-03 03:00:03,39.2
2021-10-03 03:30:03,39.3
2021-10-03 04:30:03,39.1
2021-10-03 05:00:03,39.2
2021-10-03 05:30:03,38.9
2021-10-03 06:00:03,38.7
2021-10-03 06:30:03,38.9
2021-10-03 07:00:03,42.1
2021-10-03 07:30:03,38.4
2021-10-03 08:30:03,38.2
2021-10-03 09:00:03,38.2
2021-10-03 09:30:03,39.0
2021-10-03 10:00:03,38.8
2021-10-03 10:30:03,39.0
2021-10-03 11:00:03,39.4
2021-10-03 11:30:03,39.0
2021-10-03 12:00:03,39.3
2021-10-03 13:00:03,39.2
2021-10-03 13:30:03,38.8
2021-10-03 14:00:03,39.2
2021-10-03 14:30:03,40.0
2021-10-03 15:30:03,40.3
2021-10-03 16:00:03,40.1
2021-10-03 16:30:03,40.5
2021-10-03 17:00:03,40.4
2021-10-03 17:30:03,40.7
2021-10-03 18:00:03,41.0
2021-10-03 18:30:03,41.3
2021-10-03 19:00:03,41.4
2021-10-03 20:00:03,41.2
2021-10-03 20:30:03,41.5
2021-10-03 21:00:03,43.5
2021-10-03 21:30:03,43.5
2021-10-03 22:00:03,43.2
2021-10-03 22:30:03,43.6
2021-10-03 23:00:03,42.8
2021-10-03 23:30:03,44.2
2021-10-04 00:00:03,44.3
2021-10-04 00:30:03,43.9
2021-10-04 01:00:03,43.5
2021-10-04 02:00:03,43.7
2021-10-04 02:30:03,44.0
2021-10-04 03:00:03,43.9
2021-10-04 03:30:03,43.4
2021-10-04 04:00:03,43.0
2021-10-04 04:30:03,43.9
2021-10-04 05:00:03,43.9
2021-10-04 05:30:03,44.0
2021-10-04 06:00:03,44.1
2021-10-04 06:30:03,44.1
2021-10-04 07:00:03,43.8
2021-10-04 07:30:03,44.0
2021-10-04 08:00:03,43.9
2021-10-04 08:30:03,43.8
2021-10-04 09:00:03,43.6
2021-10-04 09:30:03,43.7
