"Time","Mob BP1"
2022-02-12 08:30:03,95.1
2022-02-12 09:00:03,95.1
2022-02-12 09:30:03,96.0
2022-02-12 10:00:03,96.6
2022-02-12 10:30:03,96.7
2022-02-12 11:00:03,97.1
2022-02-12 11:30:03,97.2
2022-02-12 12:00:03,96.8
2022-02-12 12:30:03,97.2
2022-02-12 13:00:03,96.5
2022-02-12 13:30:03,96.7
2022-02-12 14:00:03,96.7
2022-02-12 14:30:03,96.8
2022-02-12 15:00:03,96.5
2022-02-12 15:30:03,96.6
2022-02-12 16:00:03,95.8
2022-02-12 16:30:03,95.9
2022-02-12 17:00:03,95.6
2022-02-12 17:30:03,95.9
2022-02-12 18:00:03,95.5
2022-02-12 18:30:03,95.4
2022-02-12 19:00:03,95.6
2022-02-12 19:30:03,95.8
2022-02-12 20:00:03,95.6
2022-02-12 20:30:03,95.5
2022-02-12 21:00:03,95.1
2022-02-12 21:30:03,95.2
2022-02-12 22:00:03,95.7
2022-02-12 22:30:03,94.7
2022-02-12 23:00:03,95.5
2022-02-12 23:30:03,95.8
2022-02-13 00:00:03,95.8
2022-02-13 00:30:03,95.7
2022-02-13 01:00:03,96.2
2022-02-13 01:30:03,96.0
2022-02-13 02:00:03,95.8
2022-02-13 02:30:03,95.8
2022-02-13 03:00:03,96.0
2022-02-13 03:30:03,96.0
2022-02-13 04:00:03,95.7
2022-02-13 04:30:03,95.5
2022-02-13 05:00:03,95.9
2022-02-13 05:30:03,95.9
2022-02-13 06:00:03,95.2
2022-02-13 06:30:03,95.3
2022-02-13 07:00:03,95.3
2022-02-13 07:30:03,95.1
2022-02-13 08:00:03,94.7
2022-02-13 08:30:03,35.4
2022-02-13 09:00:03,35.2
2022-02-13 09:30:03,36.1
2022-02-13 10:00:03,36.7
2022-02-13 10:30:03,37.2
2022-02-13 11:00:03,37.6
2022-02-13 11:30:03,38.1
2022-02-13 12:00:03,38.2
2022-02-13 12:30:03,38.3
2022-02-13 13:00:03,38.3
2022-02-13 13:30:03,38.3
2022-02-13 14:00:03,37.7
2022-02-13 14:30:03,37.4
2022-02-13 15:00:03,37.4
2022-02-13 15:30:03,37.5
2022-02-13 16:00:03,37.1
2022-02-13 16:30:03,36.8
2022-02-13 17:00:03,36.9
2022-02-13 17:30:03,36.7
2022-02-13 18:00:03,36.4
2022-02-13 18:30:03,36.4
2022-02-13 19:00:03,36.3
2022-02-13 19:30:03,36.3
2022-02-13 20:00:03,35.7
2022-02-13 20:30:03,35.5
2022-02-13 21:00:03,35.6
2022-02-13 21:20:03,56.6
2022-02-13 21:30:03,59.7
2022-02-13 22:00:03,56.8
