"Time","Mob BP1"
2022-02-12 08:30:03,3.91
2022-02-12 09:00:03,3.90
2022-02-12 09:30:03,4.00
2022-02-12 10:00:03,4.06
2022-02-12 10:30:03,4.07
2022-02-12 11:00:03,4.12
2022-02-12 11:30:03,4.12
2022-02-12 12:00:03,4.09
2022-02-12 12:30:03,4.12
2022-02-12 13:00:03,4.05
2022-02-12 13:30:03,4.07
2022-02-12 14:00:03,4.07
2022-02-12 14:30:03,4.08
2022-02-12 15:00:03,4.05
2022-02-12 15:30:03,4.06
2022-02-12 16:00:03,3.98
2022-02-12 16:30:03,3.98
2022-02-12 17:00:03,3.95
2022-02-12 17:30:03,3.98
2022-02-12 18:00:03,3.95
2022-02-12 18:30:03,3.93
2022-02-12 19:00:03,3.96
2022-02-12 19:30:03,3.98
2022-02-12 20:00:03,3.96
2022-02-12 20:30:03,3.94
2022-02-12 21:00:03,3.90
2022-02-12 21:30:03,3.91
2022-02-12 22:00:03,3.97
2022-02-12 22:30:03,3.86
2022-02-12 23:00:03,3.94
2022-02-12 23:30:03,3.98
2022-02-13 00:00:03,3.97
2022-02-13 00:30:03,3.97
2022-02-13 01:00:03,4.01
2022-02-13 01:30:03,4.00
2022-02-13 02:00:03,3.98
2022-02-13 02:30:03,3.98
2022-02-13 03:00:03,4.00
2022-02-13 03:30:03,4.00
2022-02-13 04:00:03,3.96
2022-02-13 04:30:03,3.95
2022-02-13 05:00:03,3.99
2022-02-13 05:30:03,3.99
2022-02-13 06:00:03,3.91
2022-02-13 06:30:03,3.93
2022-02-13 07:00:03,3.93
2022-02-13 07:30:03,3.90
2022-02-13 08:00:03,3.87
2022-02-13 08:30:03,0.329
2022-02-13 09:00:03,0.326
2022-02-13 09:30:03,0.347
2022-02-13 10:00:03,0.361
2022-02-13 10:30:03,0.373
2022-02-13 11:00:03,0.383
2022-02-13 11:30:03,0.395
2022-02-13 12:00:03,0.399
2022-02-13 12:30:03,0.403
2022-02-13 13:00:03,0.401
2022-02-13 13:30:03,0.401
2022-02-13 14:00:03,0.386
2022-02-13 14:30:03,0.378
2022-02-13 15:00:03,0.380
2022-02-13 15:30:03,0.381
2022-02-13 16:00:03,0.370
2022-02-13 16:30:03,0.364
2022-02-13 17:00:03,0.366
2022-02-13 17:30:03,0.362
2022-02-13 18:00:03,0.355
2022-02-13 18:30:03,0.355
2022-02-13 19:00:03,0.352
2022-02-13 19:30:03,0.350
2022-02-13 20:00:03,0.337
2022-02-13 20:30:03,0.333
2022-02-13 21:00:03,0.335
2022-02-13 21:20:03,1.07
2022-02-13 21:30:03,1.22
2022-02-13 22:00:03,1.08
2022-02-13 22:30:03,0.931
2022-02-13 23:30:03,0.761
2022-02-14 00:00:03,0.694
2022-02-14 01:00:03,0.598
2022-02-14 01:30:03,0.549
2022-02-14 02:00:03,0.527
2022-02-14 02:30:03,0.493
2022-02-14 03:00:03,0.471
2022-02-14 03:30:03,0.457
2022-02-14 04:00:03,0.443
2022-02-14 04:30:03,0.423
2022-02-14 05:00:03,0.405
2022-02-14 05:30:03,0.398
2022-02-14 06:00:03,0.389
2022-02-14 06:30:03,0.379
2022-02-14 07:00:03,0.335
2022-02-14 07:30:03,0.359
2022-02-14 08:00:03,0.360
2022-02-14 08:30:03,0.346
2022-02-14 09:00:03,0.352
2022-02-14 10:00:03,0.396
2022-02-14 10:30:03,0.425
2022-02-14 11:00:03,0.418
2022-02-14 11:30:03,0.417
2022-02-14 12:00:03,0.425
2022-02-14 12:30:03,0.411
2022-02-14 13:00:03,0.432
2022-02-14 13:30:03,0.436
2022-02-14 14:30:03,0.421
2022-02-14 15:00:03,0.383
2022-02-14 15:30:03,0.416
2022-02-14 16:00:03,0.415
2022-02-14 16:30:03,0.423
2022-02-14 17:00:03,0.599
2022-02-14 17:30:03,0.761
2022-02-14 18:00:03,0.858
2022-02-14 18:30:03,0.903
2022-02-14 19:00:03,0.921
2022-02-14 19:30:03,0.874
2022-02-14 20:00:03,0.882
2022-02-14 20:30:03,0.851
2022-02-14 21:00:03,0.818
2022-02-14 21:30:03,0.784
2022-02-14 22:00:03,0.746
2022-02-14 22:30:03,0.714
2022-02-14 23:00:03,0.684
2022-02-14 23:30:03,0.654
2022-02-15 00:00:03,0.627
2022-02-15 00:30:03,0.588
2022-02-15 01:00:03,0.571
2022-02-15 01:30:03,0.546
2022-02-15 02:00:03,0.523
2022-02-15 02:30:03,0.511
2022-02-15 03:00:03,0.511
2022-02-15 03:30:03,0.505
2022-02-15 04:00:03,0.514
2022-02-15 04:30:03,0.489
2022-02-15 05:00:03,0.473
2022-02-15 05:30:03,0.475
2022-02-15 06:00:03,0.460
2022-02-15 06:30:03,0.466
2022-02-15 07:00:03,0.475
2022-02-15 07:30:03,0.469
2022-02-15 08:00:03,0.465
2022-02-15 08:30:03,0.461
2022-02-15 09:00:03,0.486
2022-02-15 09:30:03,0.453
2022-02-15 10:00:03,0.473
2022-02-15 10:15:03,1.16
2022-02-15 10:20:03,1.61
2022-02-15 10:30:03,1.53
