"Time","MP BP3"
2021-10-19 15:30:03,13.8
2021-10-19 16:00:03,13.8
2021-10-19 17:00:03,12.9
2021-10-19 17:30:03,12.4
2021-10-19 18:00:03,11.9
2021-10-19 18:30:03,11.7
2021-10-19 19:00:03,11.7
2021-10-19 19:30:03,11.6
2021-10-19 20:00:03,11.5
2021-10-19 20:30:03,11.4
2021-10-19 21:30:03,11.3
2021-10-19 22:00:03,11.2
2021-10-19 22:30:03,11.1
2021-10-19 23:00:03,10.6
2021-10-19 23:30:03,10.1
2021-10-20 00:00:03,9.51
2021-10-20 00:30:03,8.84
2021-10-20 01:30:03,8.65
2021-10-20 02:00:03,8.78
2021-10-20 02:30:03,8.43
2021-10-20 03:00:03,8.18
2021-10-20 03:30:03,7.57
2021-10-20 04:30:03,7.35
2021-10-20 05:00:03,7.43
2021-10-20 06:00:03,7.12
2021-10-20 06:30:03,6.93
2021-10-20 07:00:03,6.39
2021-10-20 07:30:03,6.04
2021-10-20 08:00:03,5.29
2021-10-20 08:30:03,4.94
2021-10-20 09:00:03,5.73
2021-10-20 10:00:03,8.72
2021-10-20 10:30:03,9.46
2021-10-20 11:00:03,10.9
2021-10-20 11:30:03,13.1
2021-10-20 12:30:03,17.2
2021-10-20 13:00:03,17.3
2021-10-20 13:30:03,17.6
2021-10-20 14:00:03,17.1
2021-10-20 14:30:03,17.9
2021-10-20 15:00:03,18.3
2021-10-20 15:30:03,17.9
2021-10-20 16:00:03,17.3
2021-10-20 16:30:03,16.0
2021-10-20 17:30:03,15.1
2021-10-20 18:00:03,13.9
2021-10-20 18:30:03,12.9
2021-10-20 19:00:03,12.8
2021-10-20 19:30:03,12.3
2021-10-20 20:30:03,13.1
2021-10-20 21:00:03,12.6
2021-10-20 21:30:03,11.5
2021-10-20 22:00:03,10.5
2021-10-20 22:30:03,10.3
2021-10-20 23:00:03,11.5
2021-10-21 00:00:03,12.9
2021-10-21 01:00:03,13.3
2021-10-21 01:30:03,12.3
2021-10-21 02:00:03,11.8
2021-10-21 02:30:03,11.7
2021-10-21 03:00:03,11.7
2021-10-21 03:30:03,11.3
2021-10-21 04:00:03,11.3
2021-10-21 04:30:03,11.4
2021-10-21 05:00:03,11.4
2021-10-21 06:00:03,11.4
2021-10-21 06:30:03,11.5
2021-10-21 07:00:03,11.4
2021-10-21 07:30:03,11.4
2021-10-21 08:30:03,11.8
2021-10-21 09:00:03,11.8
2021-10-21 09:30:03,12.4
2021-10-21 10:00:03,12.6
2021-10-21 10:30:03,12.4
2021-10-21 11:00:03,12.1
2021-10-21 11:30:03,12.4
2021-10-21 12:00:03,13.2
2021-10-21 12:30:03,14.3
2021-10-21 13:00:03,14.0
2021-10-21 13:30:03,13.9
2021-10-21 14:00:03,13.8
2021-10-21 14:30:03,13.7
2021-10-21 15:00:03,12.5
2021-10-21 15:30:03,11.0
2021-10-21 16:00:03,11.5
2021-10-21 16:30:03,11.0
2021-10-21 17:30:03,9.60
2021-10-21 18:00:03,8.80
2021-10-21 18:30:03,8.19
2021-10-21 19:30:03,7.00
2021-10-21 20:30:03,5.72
2021-10-21 21:00:03,5.93
2021-10-21 21:30:03,6.04
2021-10-21 22:00:03,6.26
2021-10-21 22:30:03,7.90
2021-10-21 23:00:03,7.83
2021-10-21 23:30:03,7.11
2021-10-22 00:30:03,6.24
2021-10-22 01:30:03,5.66
2021-10-22 01:50:03,5.11
2021-10-22 02:00:03,5.36
2021-10-22 02:30:03,5.69
2021-10-22 03:00:03,5.91
2021-10-22 03:30:03,6.05
2021-10-22 04:00:03,6.01
2021-10-22 04:30:03,4.56
2021-10-22 05:00:03,3.52
2021-10-22 05:30:03,2.34
2021-10-22 06:00:03,1.44
2021-10-22 06:30:03,1.00
2021-10-22 07:00:03,0.625
2021-10-22 07:30:03,0.174
2021-10-22 08:30:03,0.286
2021-10-22 09:30:03,2.54
2021-10-22 10:00:03,3.93
2021-10-22 10:30:03,6.12
2021-10-22 11:00:03,6.02
2021-10-22 11:30:03,7.28
2021-10-22 12:30:03,8.29
2021-10-22 13:30:03,8.61
2021-10-22 14:30:03,8.57
2021-10-22 15:30:03,8.28
2021-10-22 16:00:03,8.14
2021-10-22 17:00:03,7.39
2021-10-22 17:30:03,7.05
2021-10-22 18:00:03,6.38
2021-10-22 18:30:03,5.74
2021-10-22 19:00:03,5.46
2021-10-22 19:30:03,5.28
2021-10-22 20:30:03,5.61
2021-10-22 21:00:03,6.05
2021-10-22 21:30:03,6.17
2021-10-22 22:00:03,6.29
2021-10-22 22:30:03,6.28
2021-10-22 23:00:03,6.01
2021-10-23 00:00:03,5.39
2021-10-23 00:30:03,5.70
2021-10-23 01:30:03,5.06
2021-10-23 02:00:03,4.69
2021-10-23 02:30:03,4.48
2021-10-23 03:30:03,2.69
2021-10-23 04:00:03,1.75
2021-10-23 04:30:03,2.03
2021-10-23 05:30:03,1.50
2021-10-23 06:00:03,1.15
2021-10-23 06:30:03,0.526
2021-10-23 07:30:03,-0.30
2021-10-23 08:00:03,-0.19
2021-10-23 08:30:03,0.134
2021-10-23 09:00:03,0.708
2021-10-23 09:30:03,1.46
2021-10-23 10:00:03,2.10
2021-10-23 10:30:03,3.40
2021-10-23 11:00:03,4.87
