"Time","MP BP2"
2021-09-15 18:02:00,11.4
2021-09-28 10:34:21,11.0
2021-09-28 10:35:10,11.0
2021-09-28 11:00:03,11.0
2021-09-28 11:30:03,11.4
2021-09-28 12:00:03,11.8
2021-09-28 12:30:03,12.4
2021-09-28 13:00:03,12.2
2021-09-28 13:30:03,12.1
2021-09-28 14:00:03,12.3
2021-09-28 14:30:03,12.3
2021-09-28 15:00:03,12.5
2021-09-28 15:30:03,12.7
2021-09-28 16:00:03,12.8
2021-09-28 16:30:03,12.8
2021-09-28 17:30:03,12.4
2021-09-28 18:00:03,12.2
2021-09-28 18:30:03,11.9
2021-09-28 19:00:03,11.6
2021-09-28 20:00:03,11.3
2021-09-28 20:30:03,11.2
2021-09-28 21:00:03,11.1
2021-09-28 21:30:03,11.1
2021-09-28 22:00:03,10.8
2021-09-28 22:30:03,10.7
2021-09-28 23:00:03,10.5
2021-09-28 23:30:03,10.4
2021-09-29 00:00:03,10.5
2021-09-29 00:30:03,10.4
2021-09-29 01:00:03,10.4
2021-09-29 01:30:03,10.6
2021-09-29 02:00:03,10.6
2021-09-29 02:30:03,10.7
2021-09-29 03:00:03,10.7
2021-09-29 03:30:03,10.7
2021-09-29 04:00:03,10.7
2021-09-29 04:30:03,10.7
2021-09-29 05:00:03,10.7
2021-09-29 05:30:03,10.7
2021-09-29 06:00:03,10.8
2021-09-29 06:30:03,10.8
2021-09-29 07:00:03,10.8
2021-09-29 07:30:03,10.8
2021-09-29 08:00:03,10.8
2021-09-29 08:30:03,10.9
2021-09-29 09:00:03,11.0
2021-09-29 09:30:03,11.2
2021-09-29 10:00:03,11.4
2021-09-29 10:30:03,11.8
2021-09-29 11:00:03,11.9
2021-09-29 11:30:03,11.9
2021-09-29 12:00:03,12.0
2021-09-29 12:30:03,12.1
2021-09-29 13:00:03,12.4
2021-09-29 13:30:03,12.8
2021-09-29 14:00:03,12.6
2021-09-29 14:30:03,12.6
2021-09-29 15:00:03,12.8
2021-09-29 15:30:03,12.9
2021-09-29 16:00:03,12.5
2021-09-29 16:30:03,12.6
2021-09-29 17:00:03,12.4
2021-09-29 18:00:03,11.4
2021-09-29 18:30:03,11.2
2021-09-29 19:00:03,10.8
2021-09-29 20:00:03,10.2
2021-09-29 20:30:03,10.1
