"Time","MP KL3"
2021-09-15 19:13:10,88.1
2021-09-28 13:07:48,89.0
2021-09-28 14:00:03,81.5
2021-09-28 14:30:03,81.3
2021-09-28 15:00:03,81.1
2021-09-28 15:30:03,81.0
2021-09-28 16:00:03,80.6
2021-09-28 16:30:03,80.1
2021-09-28 17:00:03,80.0
2021-09-28 17:30:03,79.8
2021-09-28 18:00:03,79.5
2021-09-28 18:30:03,79.8
2021-09-28 19:00:03,80.0
2021-09-28 19:30:03,80.1
2021-09-28 20:30:03,80.9
2021-09-28 21:00:03,81.1
2021-09-28 21:30:03,81.3
2021-09-28 22:00:03,81.4
2021-09-28 22:30:03,81.8
2021-09-28 23:00:03,81.6
2021-09-28 23:30:03,82.4
2021-09-29 00:00:03,83.2
2021-09-29 00:30:03,82.5
2021-09-29 01:00:03,82.8
2021-09-29 01:30:03,83.1
2021-09-29 02:00:03,83.0
2021-09-29 02:30:03,83.5
2021-09-29 03:30:03,83.4
2021-09-29 04:00:03,83.7
2021-09-29 04:30:03,83.7
2021-09-29 05:00:03,83.7
2021-09-29 05:30:03,84.2
2021-09-29 06:00:03,84.0
2021-09-29 06:30:03,84.5
2021-09-29 07:00:03,83.7
2021-09-29 07:30:03,84.1
2021-09-29 08:00:03,84.6
2021-09-29 08:30:03,84.5
2021-09-29 09:00:03,84.6
2021-09-29 09:30:03,84.8
2021-09-29 10:00:03,84.8
2021-09-29 10:30:03,84.5
2021-09-29 11:00:03,84.8
2021-09-29 11:30:03,84.4
2021-09-29 12:00:03,84.2
2021-09-29 12:30:03,83.9
2021-09-29 13:00:03,83.5
2021-09-29 13:30:03,83.2
2021-09-29 14:00:03,82.6
2021-09-29 14:30:03,81.8
2021-09-29 15:30:03,80.7
2021-09-29 16:00:03,79.3
2021-09-29 16:30:03,78.8
2021-09-29 17:00:03,78.2
2021-09-29 17:30:03,77.3
2021-09-29 18:00:03,76.8
2021-09-29 18:30:03,76.6
2021-09-29 19:30:03,76.8
2021-09-29 20:00:03,77.3
2021-09-29 20:30:03,77.6
2021-09-29 21:00:03,77.5
2021-09-29 21:30:03,78.4
2021-09-29 22:00:03,78.5
2021-09-29 22:30:03,79.2
2021-09-29 23:00:03,79.2
2021-09-30 00:00:03,79.6
2021-09-30 00:30:03,80.1
2021-09-30 01:00:03,80.1
2021-09-30 01:30:03,79.8
2021-09-30 02:00:03,80.2
2021-09-30 03:00:03,79.7
2021-09-30 03:30:03,79.9
2021-09-30 04:00:03,80.0
2021-09-30 04:30:03,80.2
2021-09-30 05:00:03,80.2
2021-09-30 05:30:03,80.3
2021-09-30 06:00:03,80.2
2021-09-30 07:00:03,80.2
2021-09-30 08:00:03,80.0
2021-09-30 08:30:03,80.4
2021-09-30 09:00:03,80.5
2021-09-30 09:30:03,80.3
2021-09-30 10:00:03,80.1
2021-09-30 10:30:03,79.8
2021-09-30 11:30:03,78.8
2021-09-30 12:00:03,77.6
2021-09-30 12:30:03,76.9
2021-09-30 13:00:03,76.6
2021-09-30 14:00:03,75.2
2021-09-30 14:30:03,74.5
2021-09-30 15:00:03,74.1
2021-09-30 16:00:03,72.7
2021-09-30 16:30:03,72.4
2021-09-30 17:00:03,72.5
2021-09-30 17:30:03,71.9
2021-09-30 18:00:03,72.0
2021-09-30 18:30:03,72.3
2021-09-30 19:00:03,72.3
2021-09-30 19:30:03,73.0
2021-09-30 20:30:03,74.0
2021-09-30 21:00:03,74.7
2021-09-30 21:30:03,75.3
2021-09-30 22:00:03,75.8
2021-09-30 22:30:03,76.0
2021-09-30 23:30:03,76.5
2021-10-01 00:00:03,77.0
2021-10-01 00:30:03,76.8
2021-10-01 01:00:03,77.1
2021-10-01 01:30:03,78.1
2021-10-01 02:00:03,77.5
2021-10-01 02:30:03,77.7
2021-10-01 03:30:03,77.9
2021-10-01 04:00:03,78.3
2021-10-01 04:30:03,78.2
2021-10-01 05:00:03,78.4
2021-10-01 05:30:03,78.4
2021-10-01 06:00:03,78.5
2021-10-01 06:30:03,78.7
2021-10-01 07:00:03,78.8
2021-10-01 07:30:03,78.9
2021-10-01 08:00:03,79.0
2021-10-01 08:30:03,79.3
2021-10-01 09:00:03,79.3
2021-10-01 09:30:03,79.6
2021-10-01 10:00:03,79.5
2021-10-01 10:30:03,79.9
2021-10-01 11:30:03,80.0
2021-10-01 12:00:03,79.8
2021-10-01 12:30:03,79.2
2021-10-01 13:00:03,78.3
2021-10-01 13:30:03,77.4
2021-10-01 14:00:03,76.4
2021-10-01 15:00:03,75.1
2021-10-01 15:30:03,73.9
2021-10-01 16:00:03,73.9
2021-10-01 16:30:03,73.4
2021-10-01 17:00:03,73.3
2021-10-01 18:00:03,73.0
2021-10-01 18:30:03,73.3
2021-10-01 19:00:03,73.6
2021-10-01 19:30:03,74.1
2021-10-01 20:00:03,74.8
2021-10-01 20:30:03,75.4
2021-10-01 21:00:03,75.7
2021-10-01 21:30:03,76.5
