"Time","MP KL2"
2021-09-13 17:05:19,24.3
2021-09-13 17:11:45,23.8
2021-09-13 17:30:04,23.1
2021-09-13 18:00:04,22.4
2021-09-13 18:30:04,21.5
2021-09-13 19:00:04,21.2
2021-09-13 19:30:04,21.0
2021-09-13 20:00:04,20.9
2021-09-13 20:30:04,20.7
2021-09-13 21:00:04,20.6
2021-09-13 21:30:04,20.5
2021-09-13 22:00:04,20.4
2021-09-13 22:30:04,20.3
2021-09-13 23:00:04,20.3
2021-09-13 23:30:04,20.2
2021-09-14 00:00:04,20.2
2021-09-14 00:30:04,20.2
2021-09-14 01:00:04,20.1
2021-09-14 01:30:04,20.1
2021-09-14 02:00:04,20.0
2021-09-14 02:30:04,20.0
2021-09-14 03:00:04,20.0
2021-09-14 03:30:04,19.9
2021-09-14 04:00:04,19.9
2021-09-14 04:30:04,19.9
2021-09-14 05:00:04,19.8
2021-09-14 05:30:04,19.8
2021-09-14 06:00:04,19.8
2021-09-14 06:30:04,19.8
2021-09-14 07:00:04,19.9
2021-09-14 07:30:04,20.0
2021-09-14 08:00:04,20.1
2021-09-14 08:30:04,20.2
2021-09-14 09:00:04,20.3
2021-09-14 10:30:04,20.4
2021-09-14 11:00:04,20.4
2021-09-14 11:30:04,20.4
2021-09-14 12:00:04,20.4
2021-09-14 12:30:04,20.5
2021-09-14 14:00:04,20.6
2021-09-14 14:30:04,20.7
2021-09-14 15:00:04,22.5
2021-09-14 16:00:04,25.2
2021-09-14 17:00:04,27.3
2021-09-14 17:30:04,27.6
2021-09-14 18:00:04,28.6
2021-09-14 18:30:04,28.1
2021-09-15 00:15:02,25.2
2021-09-15 00:30:04,25.1
2021-09-15 01:00:04,25.1
2021-09-15 01:30:04,25.0
2021-09-15 02:00:04,24.9
2021-09-15 02:30:04,24.9
2021-09-15 03:00:04,24.9
2021-09-15 03:30:04,24.9
2021-09-15 04:00:04,24.9
2021-09-15 04:30:04,24.9
2021-09-15 05:00:04,24.9
2021-09-15 05:30:04,24.8
2021-09-15 06:00:04,24.7
2021-09-15 06:30:04,24.7
2021-09-15 07:00:04,24.6
2021-09-15 07:30:04,24.5
2021-09-15 08:00:04,24.4
2021-09-15 08:30:04,24.4
2021-09-15 09:00:04,24.2
2021-09-15 09:30:04,24.1
2021-09-15 10:00:04,24.3
2021-09-15 10:30:04,24.4
2021-09-15 11:00:04,24.4
2021-09-15 11:30:04,24.4
2021-09-15 12:00:04,24.5
2021-09-18 04:22:06,21.5
2021-09-18 04:24:12,21.4
2021-09-18 04:30:03,21.0
2021-09-18 05:00:03,18.0
2021-09-18 05:30:03,16.7
2021-09-18 06:30:03,16.4
2021-09-28 14:30:03,16.5
2021-09-28 15:00:03,17.1
2021-09-28 15:30:03,17.4
2021-09-28 16:00:03,17.2
2021-09-28 16:30:03,17.0
2021-09-28 17:00:03,16.7
2021-09-28 17:30:03,16.3
2021-09-28 18:00:03,15.7
2021-09-28 18:30:03,15.2
2021-09-28 19:00:03,14.7
2021-09-28 19:30:03,13.9
2021-09-28 20:00:03,13.6
2021-09-28 20:30:03,13.6
2021-09-28 21:00:03,13.5
2021-09-28 21:30:03,13.1
2021-09-28 22:00:03,12.7
2021-09-28 22:30:03,12.1
2021-09-28 23:00:03,11.6
2021-09-28 23:30:03,11.5
2021-09-29 00:00:03,11.7
2021-09-29 00:30:03,11.6
2021-09-29 01:00:03,11.7
2021-09-29 01:30:03,12.0
2021-09-29 02:00:03,12.3
2021-09-29 02:30:03,12.5
2021-09-29 03:00:03,12.4
2021-09-29 03:30:03,12.5
2021-09-29 04:00:03,12.6
2021-09-29 04:30:03,12.7
2021-09-29 05:00:03,12.7
2021-09-29 05:30:03,12.7
2021-09-29 06:00:03,12.6
2021-09-29 06:30:03,12.6
2021-09-29 07:00:03,12.5
2021-09-29 07:30:03,12.6
2021-09-29 08:00:03,12.6
2021-09-29 08:30:03,12.8
2021-09-29 09:00:03,12.9
2021-09-29 09:30:03,13.5
2021-09-29 10:00:03,14.2
2021-09-29 10:30:03,14.9
2021-09-29 11:00:03,14.8
2021-09-29 11:30:03,14.9
2021-09-29 12:00:03,15.0
2021-09-29 12:30:03,15.1
2021-09-29 13:00:03,16.0
2021-09-29 13:30:03,16.7
2021-09-29 14:00:03,16.3
2021-09-29 14:30:03,16.3
2021-09-29 15:00:03,16.7
2021-09-29 15:30:03,17.4
2021-09-29 16:00:03,17.2
2021-09-29 16:30:03,18.0
2021-09-29 17:00:03,17.1
2021-09-29 17:30:03,16.9
2021-09-29 18:00:03,15.7
2021-09-29 18:30:03,14.3
2021-09-29 19:00:03,12.2
2021-09-29 19:30:03,11.1
2021-09-29 20:00:03,10.4
2021-09-29 20:30:03,10.5
2021-09-29 21:00:03,11.9
2021-09-29 22:00:03,12.4
2021-09-29 22:30:03,11.9
2021-09-29 23:00:03,11.7
2021-09-29 23:30:03,11.7
2021-09-30 00:00:03,11.9
2021-09-30 00:30:03,11.5
2021-09-30 01:00:03,11.2
2021-09-30 01:30:03,11.1
2021-09-30 02:00:03,10.3
2021-09-30 02:30:03,9.66
2021-09-30 03:00:03,8.97
2021-09-30 03:30:03,8.72
2021-09-30 04:00:03,7.67
2021-09-30 04:30:03,8.35
2021-09-30 05:00:03,9.07
2021-09-30 05:30:03,8.59
2021-09-30 06:00:03,8.25
2021-09-30 06:30:03,7.41
2021-09-30 07:00:03,6.51
2021-09-30 07:30:03,5.46
2021-09-30 08:00:03,5.88
2021-09-30 08:30:03,7.35
2021-09-30 09:00:03,10.6
2021-09-30 09:30:03,11.3
2021-09-30 10:00:03,12.7
2021-09-30 10:30:03,11.9
2021-09-30 11:00:03,13.4
2021-09-30 11:30:03,12.9
2021-09-30 12:00:03,13.7
2021-09-30 12:30:03,12.5
2021-09-30 13:30:03,14.3
2021-09-30 14:00:03,16.9
2021-09-30 14:30:03,17.7
2021-09-30 15:00:03,16.2
2021-09-30 15:30:03,15.9
2021-09-30 16:00:03,14.5
2021-09-30 16:30:03,14.6
2021-09-30 17:00:03,14.6
2021-09-30 17:30:03,13.4
2021-09-30 18:00:03,12.1
2021-09-30 18:30:03,10.5
2021-09-30 19:00:03,8.63
2021-09-30 19:30:03,7.78
2021-09-30 20:00:03,7.62
2021-09-30 20:30:03,6.34
2021-09-30 21:30:03,5.34
2021-09-30 22:00:03,5.38
2021-09-30 22:30:03,4.90
2021-09-30 23:00:03,4.58
2021-09-30 23:30:03,4.08
2021-10-01 00:00:03,3.75
2021-10-01 00:30:03,3.38
2021-10-01 01:00:03,3.06
2021-10-01 01:30:03,2.84
2021-10-01 02:00:03,2.63
2021-10-01 02:30:03,2.45
2021-10-01 03:00:03,2.24
2021-10-01 03:30:03,1.93
2021-10-01 04:00:03,1.86
2021-10-01 04:30:03,1.65
2021-10-01 05:00:03,1.52
2021-10-01 05:30:03,1.34
2021-10-01 06:00:03,1.26
2021-10-01 06:30:03,1.23
2021-10-01 07:00:03,0.970
2021-10-01 07:30:03,1.08
2021-10-01 08:00:03,1.58
2021-10-01 08:30:03,2.80
2021-10-01 10:00:03,10.5
2021-10-01 10:30:03,12.7
2021-10-01 11:00:03,14.2
2021-10-01 11:30:03,15.2
2021-10-01 12:00:03,14.7
2021-10-01 12:30:03,15.1
2021-10-01 13:00:03,15.7
2021-10-01 13:30:03,16.6
2021-10-01 14:00:03,18.7
2021-10-01 14:30:03,19.3
2021-10-01 15:00:03,18.1
2021-10-01 15:30:03,18.3
2021-10-01 16:00:03,17.7
2021-10-01 16:30:03,18.0
2021-10-01 17:00:03,17.5
2021-10-01 17:30:03,16.0
2021-10-01 18:00:03,13.8
2021-10-01 18:30:03,11.7
2021-10-01 19:00:03,9.75
2021-10-01 19:30:03,8.66
2021-10-01 20:00:03,8.02
2021-10-01 20:30:03,7.56
2021-10-01 21:00:03,7.28
2021-10-01 21:30:03,6.83
2021-10-01 22:00:03,6.47
2021-10-01 22:30:03,6.20
2021-10-01 23:00:03,5.89
2021-10-01 23:30:03,5.61
2021-10-02 00:00:03,5.23
2021-10-02 00:30:03,5.02
2021-10-02 01:00:03,4.92
2021-10-02 01:30:03,4.54
2021-10-02 02:00:03,4.35
2021-10-02 02:30:03,4.08
2021-10-02 03:00:03,3.80
2021-10-02 03:30:03,3.80
2021-10-02 04:00:03,3.66
2021-10-02 04:30:03,3.54
2021-10-02 05:00:03,3.24
2021-10-02 05:30:03,3.15
2021-10-02 06:00:03,3.04
2021-10-02 06:30:03,3.08
2021-10-02 07:00:03,3.11
2021-10-02 07:30:03,3.28
