"Time","MP KL1"
2021-09-14 08:33:11,14.8
2021-09-28 11:49:27,14.3
2021-09-28 12:00:03,13.6
2021-09-28 12:30:03,13.6
2021-09-28 13:00:03,13.8
2021-09-28 13:30:03,13.9
2021-09-28 14:00:03,13.9
2021-09-28 14:30:03,14.0
2021-09-28 15:00:03,14.0
2021-09-28 15:30:03,14.2
2021-09-28 16:00:03,14.2
2021-09-28 16:30:03,14.2
2021-09-28 17:00:03,14.3
2021-09-28 17:30:03,14.4
2021-09-28 18:00:03,14.3
2021-09-28 18:30:03,14.2
2021-09-28 19:00:03,14.1
2021-09-28 19:30:03,14.0
2021-09-28 20:00:03,13.9
2021-09-28 21:00:03,13.7
2021-09-28 21:30:03,13.6
2021-09-28 22:00:03,13.5
2021-09-28 22:30:03,13.4
2021-09-28 23:00:03,13.3
2021-09-28 23:30:03,13.2
2021-09-29 00:00:03,13.1
2021-09-29 01:00:03,12.9
2021-09-29 01:30:03,12.9
2021-09-29 02:00:03,12.9
2021-09-29 02:30:03,12.9
2021-09-29 03:00:03,13.0
2021-09-29 03:30:03,13.0
2021-09-29 04:00:03,13.0
2021-09-29 04:30:03,13.0
2021-09-29 05:00:03,13.0
2021-09-29 05:30:03,13.0
2021-09-29 06:30:03,13.0
2021-09-29 07:00:03,13.0
2021-09-29 07:30:03,13.0
2021-09-29 08:00:03,13.0
2021-09-29 08:30:03,13.0
2021-09-29 09:00:03,13.0
2021-09-29 09:30:03,13.1
2021-09-29 10:00:03,13.2
2021-09-29 10:30:03,13.3
2021-09-29 11:00:03,13.4
2021-09-29 11:30:03,13.4
2021-09-29 12:00:03,13.5
2021-09-29 12:30:03,13.6
2021-09-29 13:30:03,13.8
2021-09-29 14:00:03,13.9
2021-09-29 14:30:03,13.9
2021-09-29 15:00:03,14.0
2021-09-29 15:30:03,14.1
2021-09-29 16:00:03,14.1
2021-09-29 16:30:03,14.1
2021-09-29 17:00:03,14.0
2021-09-29 18:30:03,13.7
2021-09-29 19:00:03,13.5
2021-09-29 19:30:03,13.4
2021-09-29 20:00:03,13.1
2021-09-29 20:30:03,13.0
2021-09-29 21:00:03,12.9
2021-09-29 21:30:03,12.8
2021-09-29 22:00:03,12.8
2021-09-29 23:00:03,12.7
2021-09-30 00:00:03,12.6
2021-09-30 00:30:03,12.5
2021-09-30 01:00:03,12.5
2021-09-30 01:30:03,12.4
2021-09-30 02:00:03,12.3
2021-09-30 02:30:03,12.0
2021-09-30 03:00:03,11.8
2021-09-30 04:00:03,11.3
2021-09-30 04:30:03,11.2
2021-09-30 05:00:03,11.1
2021-09-30 05:30:03,10.8
2021-09-30 07:00:03,10.3
2021-09-30 07:30:03,10.1
2021-09-30 08:00:03,9.95
2021-09-30 08:30:03,9.90
2021-09-30 09:00:03,9.85
2021-09-30 09:30:03,10.0
2021-09-30 10:00:03,10.1
2021-09-30 11:00:03,10.5
2021-09-30 11:30:03,10.6
2021-09-30 12:00:03,10.7
2021-09-30 12:30:03,10.8
2021-09-30 13:00:03,10.9
2021-09-30 13:30:03,10.9
2021-09-30 15:00:03,11.2
2021-09-30 15:30:03,11.4
2021-09-30 16:00:03,11.3
2021-09-30 16:30:03,11.4
2021-09-30 17:00:03,11.4
2021-09-30 18:00:03,11.2
2021-09-30 18:30:03,11.1
2021-09-30 19:00:03,11.0
2021-09-30 19:30:03,10.7
2021-09-30 20:00:03,10.6
2021-09-30 20:30:03,10.4
2021-09-30 21:00:03,10.1
2021-09-30 21:30:03,9.97
2021-09-30 22:00:03,9.76
2021-09-30 23:00:03,9.36
2021-09-30 23:30:03,9.12
2021-09-30 23:50:03,8.93
2021-10-01 00:20:03,8.81
2021-10-01 00:30:03,8.79
2021-10-01 01:30:03,8.29
2021-10-01 02:00:03,8.05
2021-10-01 02:30:03,7.95
2021-10-01 03:00:03,7.81
2021-10-01 03:30:03,7.69
